ts,layer_index,layer_name,event_type,latency_ms,vram_used_gb
1782789777.772974,0,decoder.0,LAYER_LOAD_DONE,11.834,0.3364
1782789777.772994,0,decoder.0,LAYER_COMPUTE_DONE,113.308,0.3364
1782789777.815651,1,decoder.1,LAYER_LOAD_DONE,11.247,0.3365
1782789777.815668,1,decoder.1,LAYER_COMPUTE_DONE,1.271,0.3365
1782789777.858299,2,decoder.2,LAYER_LOAD_DONE,11.439,0.3366
1782789777.858316,2,decoder.2,LAYER_COMPUTE_DONE,1.235,0.3366
1782789777.901935,3,decoder.3,LAYER_LOAD_DONE,11.65,0.3366
1782789777.901952,3,decoder.3,LAYER_COMPUTE_DONE,1.279,0.3366
1782789777.944472,4,decoder.4,LAYER_LOAD_DONE,11.244,0.3366
1782789777.9445,4,decoder.4,LAYER_COMPUTE_DONE,1.216,0.3366
1782789777.987005,5,decoder.5,LAYER_LOAD_DONE,11.111,0.3366
1782789777.987022,5,decoder.5,LAYER_COMPUTE_DONE,1.187,0.3366
1782789778.029246,6,decoder.6,LAYER_LOAD_DONE,11.374,0.3367
1782789778.029263,6,decoder.6,LAYER_COMPUTE_DONE,1.25,0.3367
1782789778.071084,7,decoder.7,LAYER_LOAD_DONE,11.031,0.3367
1782789778.071101,7,decoder.7,LAYER_COMPUTE_DONE,1.192,0.3367
1782789778.112928,8,decoder.8,LAYER_LOAD_DONE,11.083,0.3367
1782789778.112947,8,decoder.8,LAYER_COMPUTE_DONE,1.551,0.3367
1782789778.154511,9,decoder.9,LAYER_LOAD_DONE,11.081,0.3368
1782789778.154782,9,decoder.9,LAYER_COMPUTE_DONE,1.208,0.3368
1782789778.196162,10,decoder.10,LAYER_LOAD_DONE,10.961,0.3368
1782789778.196179,10,decoder.10,LAYER_COMPUTE_DONE,1.189,0.3368
1782789778.237671,11,decoder.11,LAYER_LOAD_DONE,10.99,0.3368
1782789778.237689,11,decoder.11,LAYER_COMPUTE_DONE,1.21,0.3368
1782789778.279178,12,decoder.12,LAYER_LOAD_DONE,11.07,0.3369
1782789778.279194,12,decoder.12,LAYER_COMPUTE_DONE,1.196,0.3369
1782789778.323665,13,decoder.13,LAYER_LOAD_DONE,14.086,0.3369
1782789778.323682,13,decoder.13,LAYER_COMPUTE_DONE,1.221,0.3369
1782789778.367427,14,decoder.14,LAYER_LOAD_DONE,12.388,0.3369
1782789778.367444,14,decoder.14,LAYER_COMPUTE_DONE,1.414,0.3369
1782789778.413924,15,decoder.15,LAYER_LOAD_DONE,12.035,0.337
1782789778.413941,15,decoder.15,LAYER_COMPUTE_DONE,1.223,0.337
1782789778.456215,16,decoder.16,LAYER_LOAD_DONE,11.052,0.337
1782789778.456231,16,decoder.16,LAYER_COMPUTE_DONE,1.234,0.337
1782789778.497474,17,decoder.17,LAYER_LOAD_DONE,10.86,0.337
1782789778.497497,17,decoder.17,LAYER_COMPUTE_DONE,1.207,0.337
1782789778.538933,18,decoder.18,LAYER_LOAD_DONE,10.942,0.3371
1782789778.538951,18,decoder.18,LAYER_COMPUTE_DONE,1.21,0.3371
1782789778.580241,19,decoder.19,LAYER_LOAD_DONE,10.899,0.3371
1782789778.580259,19,decoder.19,LAYER_COMPUTE_DONE,1.196,0.3371
1782789778.625451,20,decoder.20,LAYER_LOAD_DONE,11.03,0.3371
1782789778.625467,20,decoder.20,LAYER_COMPUTE_DONE,1.176,0.3371
1782789778.667929,21,decoder.21,LAYER_LOAD_DONE,11.503,0.3372
1782789778.667947,21,decoder.21,LAYER_COMPUTE_DONE,1.248,0.3372
1782789778.741849,0,decoder.0,LAYER_LOAD_DONE,9.653,0.3369
1782789778.741881,0,decoder.0,LAYER_COMPUTE_DONE,11.711,0.3369
